Start, End, Sleep quality, Time in bed, Wake up, Sleep Notes, Heart rate, Activity (steps),Time edit
 2019-02-28 22:34:09, 2019-03-01 06:55:34,95,8.21, :|, Feeling ill ??:??,102,5065,9

 2019-03-03 21:48:22, 2019-03-04 06:43:08,100,8.54, :(, Feeling ill ??:??,89,796,9

 2019-03-04 23:14:51, 2019-03-05 07:01:08,83,7.46, :(, Feeling ill ??:Worked out:??,80,5244,8

 2019-03-05 23:23:37, 2019-03-06 07:07:53,85,7.44, :(, ??,95,6943,8

 2019-03-06 21:58:49, 2019-03-07 06:18:47,97,8.19, :(, Pole fitness:Worked out:??,74,8132,9

 2019-03-07 22:23:47, 2019-03-08 06:20:55,80,7.57, :|, ,90,4584,8

 2019-03-08 21:34:41, 2019-03-09 07:20:37,72,9.45, :(, Pole fitness:Worked out,81,8872,10

 2019-03-09 22:07:06, 2019-03-10 07:59:17,100,9.52, :|, Climbing:Worked out,74,7427,10

 2019-03-11 22:45:39, 2019-03-12 06:41:52,86,7.56, :|, Worked out,85,7860,8

 2019-03-13 21:58:34, 2019-03-14 06:16:05,53,8.17, :|, Pole fitness:??,96,7664,9

