Start, End, Sleep quality, Time in bed, Wake up, Sleep Notes, Heart rate, Activity (steps),Time edit
 2018-02-25 23:32:03, 2018-02-26 06:43:05,68,7.11, :|, Climbing:Stressful day:Worked out,99,2876,8

 2018-02-26 22:55:45, 2018-02-27 06:28:54,83,7.33, :(, Drinking alcohol:Stressful day,91,5012,8

 2018-02-27 23:00:26, 2018-02-28 06:18:18,80,7.17, :(, Pole fitness:Worked out,92,7004,8

 2018-03-07 23:23:45, 2018-03-08 04:04:45,46,4.41, , ??,0,2827,5

 2018-03-13 22:13:31, 2018-03-14 06:45:49,86,8.32, :(, Stressful day:??,88,4779,9

 2018-03-15 23:43:22, 2018-03-16 06:17:01,69,6.33, :(, ,72,6118,7

 2018-03-16 23:06:58, 2018-03-17 06:51:52,88,7.44, :|, Climbing:Pole fitness:Worked out,87,7356,8

 2018-03-18 22:22:25, 2018-03-19 06:43:24,91,8.2, :), Incense:Pole fitness:Worked out:??,79,9888,9

 2018-03-19 22:36:43, 2018-03-20 06:21:42,86,7.44, :|, Pole fitness:Worked out,102,2388,8

 2018-03-20 21:48:42, 2018-03-21 06:05:05,81,8.16, :(, Feeling ill ??:??,123,5640,9

 2018-03-21 21:55:49, 2018-03-22 06:02:46,90,8.06, :|, Feeling ill ??:??,86,270,9

 2018-03-22 21:59:21, 2018-03-23 06:02:58,86,8.03, :(, ,90,7337,9

 2018-03-24 01:11:58, 2018-03-24 07:04:11,64,5.52, :(, Stressful day,92,5057,6

 2018-03-24 22:33:01, 2018-03-25 06:31:42,83,6.58, :|, ??,82,2395,7

 2018-03-26 23:15:07, 2018-03-27 06:48:12,76,7.33, :|, ,86,4813,8

 2018-03-27 23:24:29, 2018-03-28 07:36:33,82,8.12, :(, Stressful day,84,3972,9

 2018-03-28 22:17:47, 2018-03-29 07:16:46,93,8.58, :(, Stressful day:??,89,3085,9

 2018-03-30 23:44:22, 2018-03-31 07:19:04,76,7.34, :(, Climbing:Worked out:??,91,6198,8

